,name,date,county,size,%_contained,high_temp,low_temp,high_humidity,low_humidity,wind_speed,wind_gust,fuel_temp,fuel_moisture,max_radiation,peak_wind_direction
98,Mesa Fire,7/17/2017,Santa Barbara,50,100,68.26666666666667,51.4,64.2,34.733333333333334,0.9632000000000016,3.2369,27.938699999999997,4.872,332.8,137.3
99,Drum Fire,12/16/2017,Santa Barbara,14,100,57.06666666666667,35.0,58.86666666666667,6.933333333333334,1.4897000000000005,4.412200000000002,11.599799999999998,3.6579999999999995,120.44,156.62
100,Coast Fire,12/14/2017,Santa Barbara,14,100,65.73333333333333,44.666666666666664,27.466666666666665,4.266666666666667,1.4500000000000002,4.353900000000002,14.305500000000006,2.7569999999999992,123.86,163.28
101,Skeggs Fire,9/11/2017,San Mateo,50,100,97.0,63.666666666666664,81.66666666666667,15.333333333333334,5.682099999999999,10.1248,20.11640000000001,15.559000000000005,193.76,220.66
102,Alamo Fire,7/6/2017,San Luis Obispo,28687,100,94.0,62.5,65.83333333333333,25.333333333333332,1.8339000000000005,4.2063,29.588699999999996,3.853999999999999,286.8,163.24
103,Hill Fire,6/26/2017,San Luis Obispo,1598,100,94.66666666666667,55.333333333333336,69.83333333333333,20.5,1.525500000000001,3.8443999999999994,24.766699999999993,4.1599999999999975,342.45,237.91
104,Yankee Fire,8/11/2017,San Luis Obispo,775,100,90.33333333333333,58.0,76.16666666666667,27.666666666666668,1.5116000000000005,3.979100000000001,25.522200000000012,4.238000000000001,306.3,221.99
105,Red Fire,8/2/2017,San Luis Obispo,460,100,97.83333333333333,70.5,63.833333333333336,23.666666666666668,1.3334000000000004,3.487,29.049499999999988,4.578000000000001,208.36,214.13
106,Stone Fire,7/9/2017,San Luis Obispo,340,100,98.5,65.66666666666667,50.5,17.666666666666668,1.4671000000000012,3.7144999999999992,27.5501,4.629000000000001,279.3,224.48
107,Huasna Fire,9/20/2017,San Luis Obispo,245,100,79.66666666666667,49.833333333333336,72.83333333333333,29.0,1.6859000000000006,4.220399999999999,16.1834,8.059999999999997,241.96,214.45
108,Camp Fire,5/18/2017,San Luis Obispo,225,100,65.0,36.5,61.333333333333336,15.333333333333334,1.6946000000000003,4.4346,20.438499999999998,6.352,335.74,186.22
